#{"t_start": 1529867681.2593617, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,129,3.538452
0.0,129,3.933999
0.0,127,4.3286
3.0,253,5.125519
0.0,127,5.51617
0.0,125,5.875647
0.0,129,6.266229
1.0,155,6.73501
0.0,125,7.110025
1.0,178,7.656948
2.0,206,8.281979
0.0,129,8.67264
1.0,176,9.203927
0.0,123,9.57894
3.0,232,10.282123
0.0,129,10.6729
1.0,173,11.20405
0.0,127,11.579085
3.0,272,12.422891
2.0,202,13.047923
1.0,155,13.516705
2.0,200,14.12613
0.0,129,14.516772
1.0,155,14.985553
1.0,157,15.454335
1.0,177,15.98565
6.0,395,17.204462
2.0,202,17.829503
1.0,176,18.360778
1.0,176,18.892063
1.0,155,19.360846
4.0,274,20.204652
0.0,129,20.595302
0.0,127,20.970446
2.0,201,21.579744
0.0,127,21.970395
2.0,202,22.595437
1.0,155,23.064218
2.0,220,23.736148
0.0,129,24.126791
5.0,284,25.001857
1.0,154,25.455013
3.0,234,26.236306
1.0,175,26.767591
0.0,127,27.158253
1.0,174,27.673911
0.0,125,28.048936
1.0,174,28.580213
1.0,173,29.111498
2.0,184,29.658419
1.0,171,30.174079
3.0,254,30.955372
2.0,185,31.517919
3.0,250,32.283595
0.0,127,32.674247
1.0,173,33.205533
4.0,246,33.955572
0.0,129,34.346223
1.0,175,34.877507
3.0,218,35.549438
1.0,173,36.080723
0.0,127,36.8464
2.0,224,38.393369
4.0,298,40.534146
0.0,129,41.424832
0.0,129,42.315517
3.0,272,44.284398
0.0,127,45.190704
0.0,125,46.050131
0.0,129,46.972067
0.0,129,47.878378
3.0,253,49.753504
2.0,202,51.222352
1.0,177,52.503688
5.0,329,54.956987
1.0,155,56.066436
0.0,127,56.988374
1.0,157,58.097813
2.0,202,59.576263
4.0,300,61.795163
1.0,175,63.060862
5.0,328,65.482946
1.0,153,66.576721
2.0,222,68.186204
0.0,127,69.092516
1.0,157,70.186338
0.0,127,71.0928
0.0,129,71.983343
0.0,129,72.889654
3.0,234,74.577266
0.0,127,75.467952
2.0,186,76.796157
2.0,206,78.265004
1.0,173,79.499471
0.0,125,80.358893
2.0,204,81.812126
0.0,125,82.67155
1.0,153,83.749747
0.0,127,84.624814
0.0,127,85.499862
0.0,127,86.390548
2.0,222,87.953161
1.0,173,89.171983
2.0,201,90.593964
3.0,252,92.406575
3.0,227,94.016068
0.0,127,94.87549
2.0,182,96.14121
0.0,129,97.031894
0.0,125,97.875692
2.0,204,99.297671
0.0,125,100.157094
3.0,274,102.094723
3.0,271,104.016736
2.0,182,105.282446
5.0,328,107.626345
0.0,129,108.485775
0.0,125,109.329583
2.0,201,110.735927
0.0,127,111.579743
1.0,157,112.65793
0.0,125,114.00177
1.0,155,115.064341
0.0,129,115.955025
2.0,204,117.392621
1.0,155,118.460112
1.0,155,119.543234
0.0,125,120.371415
3.0,252,122.152775
2.0,227,123.762258
0.0,125,124.606063
1.0,157,125.684277
0.0,129,126.559318
0.0,125,127.403135
2.0,202,128.825094
0.0,129,129.700343
2.0,188,130.997125
1.0,157,132.075314
0.0,129,132.950372
1.0,153,134.013104
2.0,187,135.325532
0.0,125,136.169338
0.0,127,137.02878
2.0,222,138.575746
0.0,129,139.450808
2.0,221,140.997785
4.0,301,143.138555
9.0,329,145.498096
2.0,224,147.076326
1.0,174,148.263906
0.0,129,149.154581
3.0,229,150.764072
4.0,273,152.686077
1.0,152,153.70177
0.0,129,154.576818
0.0,129,155.451886
0.0,127,156.295694
0.0,129,157.170743
0.0,127,158.030173
1.0,155,159.092745
0.0,127,159.952178
0.0,129,160.811611
0.0,125,161.655417
2.0,204,163.061761
1.0,157,164.139968
1.0,155,165.186913
1.0,155,166.26511
4.0,302,168.390243
1.0,155,169.452824
2.0,203,170.859167
0.0,125,171.687339
2.0,219,173.218691
5.0,326,175.515719
0.0,129,176.390788
4.0,301,178.51083
5.0,367,181.166215
1.0,151,182.256743
0.0,123,183.075687
1.0,155,184.138268
3.0,250,185.872759
0.0,129,186.716565
1.0,155,187.779261
0.0,125,188.607306
4.0,255,190.388676
0.0,127,191.232482
1.0,153,192.263811
1.0,171,193.420137
2.0,201,194.795221
1.0,176,195.982799
1.0,155,197.029754
0.0,129,197.889187
1.0,175,199.076756
3.0,272,200.967518
0.0,127,201.811324
1.0,157,202.873895
0.0,127,203.717692
1.0,171,204.874019
1.0,155,205.920964
2.0,192,207.233552
5.0,352,209.702468
3.0,255,211.468221
2.0,203,212.858937
2.0,218,214.359039
0.0,127,215.202845
1.0,178,216.40605
0.0,127,217.265473
1.0,176,218.453063
0.0,129,219.312497
0.0,127,220.156301
2.0,205,221.562635
0.0,129,222.422069
1.0,157,223.469013
1.0,173,224.640967
1.0,175,225.828556
0.0,129,226.703606
3.0,274,228.609982
2.0,188,229.891329
2.0,185,231.141402
2.0,187,232.422739
1.0,153,233.454058
0.0,127,234.31349
0.0,129,235.173056
1.0,152,236.235503
1.0,155,237.282437
1.0,159,238.360635
3.0,232,240.021583
4.0,263,241.85092
1.0,173,243.038489
1.0,157,244.10107
0.0,129,244.944876
0.0,127,245.804298
0.0,129,246.648115
2.0,201,248.023208
1.0,175,249.210776
2.0,224,250.757756
4.0,300,252.851644
1.0,153,253.882964
2.0,224,255.445579
1.0,174,256.617522
0.0,129,257.461339
1.0,173,258.648908
2.0,205,260.070887
3.0,228,261.633482
0.0,127,262.477288
0.0,127,263.321095
0.0,127,264.164912
2.0,223,265.696254
3.0,231,267.290303
2.0,224,268.8371
2.0,200,270.212183
0.0,127,271.055987
4.0,263,272.86861
5.0,346,275.290647
10.0,411,278.181474
3.0,254,279.931593
2.0,206,281.338047
4.0,280,283.291182
1.0,155,284.338127
6.0,322,286.603902
4.0,299,288.682177
0.0,127,289.54161
2.0,224,291.072951
3.0,235,292.698071
1.0,173,293.870024
3.0,247,295.573252
2.0,203,296.963972
2.0,223,298.495324
2.0,202,299.886041
0.0,127,300.714221
4.0,298,302.802529
3.0,239,304.458891
3.0,254,306.209019
7.0,361,308.756065
2.0,187,310.037397
8.0,473,313.381371
3.0,214,314.850219
1.0,176,316.053416
5.0,326,318.33483
2.0,224,319.866182
7.0,401,322.694521
13.0,477,326.054085
5.0,352,328.507384
4.0,287,330.507518
6.0,419,333.46083
2.0,206,334.867173
2.0,201,336.22665
4.0,254,338.429912
5.0,291,340.461308
7.0,423,343.430258
5.0,319,345.649155
3.0,253,347.399262
10.0,376,350.02445
3.0,252,351.774567
11.0,487,355.19667
3.0,232,356.821768
8.0,461,360.05636
5.0,315,362.254286
6.0,341,364.644826
6.0,327,366.941854
4.0,263,368.754476
5.0,331,371.067174
6.0,418,374.004827
2.0,183,375.25491
6.0,377,377.895702
4.0,302,379.989602
5.0,350,382.427255
5.0,311,384.599275
7.0,406,387.443248
12.0,493,390.927822
5.0,316,393.131097
7.0,404,395.959411
9.0,489,399.412776
7.0,366,401.975448
8.0,495,405.460046
3.0,228,407.038276
5.0,292,409.054035
8.0,425,412.491767
4.0,301,414.616918
9.0,470,417.960892
5.0,346,420.398556
9.0,444,423.518938
16.0,563,427.503578
7.0,450,430.675657
5.0,333,433.019663
9.0,525,436.738562
3.0,254,438.48877
3.0,238,440.129424
12.0,554,444.051551
2.0,219,445.536036
7.0,415,448.458096
11.0,547,452.348991
13.0,559,456.333857
9.0,510,459.958875
9.0,404,462.802815
2.0,187,464.099768
6.0,377,466.756205
1.0,157,467.818766
5.0,314,470.022038
4.0,243,471.709661
10.0,543,475.58491
12.0,509,479.178914
6.0,358,481.694705
6.0,364,484.794851
4.0,264,486.648277
8.0,392,489.414077
8.0,300,491.507966
5.0,334,493.836248
4.0,264,495.68013
8.0,461,498.930338
4.0,323,501.21174
8.0,429,504.258819
5.0,351,506.712109
5.0,334,509.071642
8.0,419,512.024965
15.0,667,516.790917
12.0,316,519.009817
7.0,407,521.885008
6.0,328,524.197653
9.0,328,526.494684
6.0,341,528.901093
9.0,351,531.370019
4.0,279,533.323273
10.0,502,536.917265
17.0,590,541.105048
11.0,482,544.527138
6.0,317,546.753019
8.0,440,549.862602
9.0,448,553.019176
11.0,538,556.816203
7.0,368,559.863272
5.0,296,561.925918
9.0,329,564.222948
15.0,481,567.629416
9.0,480,570.989015
9.0,489,574.457997
9.0,507,578.036361
10.0,512,581.661616
10.0,429,584.661805
8.0,415,587.583874
10.0,482,590.98417
7.0,412,593.875117
13.0,481,597.281467
18.0,538,601.078607
21.0,659,605.749782
15.0,433,608.796861
5.0,286,610.797006
8.0,441,613.890953
17.0,504,617.453691
4.0,286,619.438198
3.0,275,621.328949
17.0,692,626.251152
8.0,411,629.141982
6.0,402,632.454693
7.0,408,635.345512
8.0,439,638.472224
10.0,488,641.921391
11.0,514,645.577875
12.0,525,649.3125
10.0,463,652.641455
9.0,360,655.219754
15.0,420,658.280354
4.0,266,660.165781
9.0,346,662.602999
7.0,378,665.273248
24.0,806,671.046044
23.0,568,675.117525
14.0,609,679.467427
9.0,472,682.834592
10.0,453,686.063971
9.0,460,689.505845
9.0,451,692.78244
7.0,374,695.477577
10.0,517,699.181779
17.0,522,702.900776
13.0,611,707.754466
21.0,657,712.426653
13.0,643,717.029758
12.0,304,719.154909
19.0,729,724.358383
14.0,662,729.07744
22.0,693,734.015277
13.0,627,738.484329
17.0,527,742.218952
12.0,473,745.594168
12.0,592,749.797574
28.0,739,755.094956
17.0,734,760.32747
20.0,478,763.718333
12.0,547,767.593592
18.0,655,772.250154
16.0,703,777.28173
22.0,654,782.422711
15.0,655,787.095027
26.0,759,792.498464
24.0,867,798.702012
25.0,752,804.061747
27.0,909,810.53093
24.0,667,815.281238
46.0,1147,823.482849
16.0,716,828.576949
10.0,478,831.952174
21.0,753,837.327536
13.0,606,841.624688
26.0,836,847.593847
13.0,571,852.153591
19.0,704,857.169552
17.0,572,861.232333
13.0,465,864.52943
22.0,777,870.045414
17.0,651,874.701974
35.0,924,881.292108
13.0,695,886.229939
2.0,186,887.495659
20.0,767,892.980401
34.0,933,899.637088
14.0,603,903.934259
10.0,535,907.715761
11.0,410,910.650389
20.0,598,914.916289
16.0,606,919.229077
24.0,800,924.932584
23.0,726,930.104806
14.0,594,934.323878
18.0,674,939.14823
33.0,1103,947.086251
30.0,713,952.1491
7.0,354,954.649266
25.0,705,959.665228
31.0,797,965.368838
15.0,643,969.927608
29.0,1018,977.19372
30.0,855,983.303505
12.0,601,987.585177
10.0,514,991.225907
18.0,595,995.444929
29.0,914,1001.972597
18.0,498,1005.488631
24.0,700,1010.473174
21.0,679,1015.285987
16.0,466,1018.583085
21.0,910,1025.083527
39.0,1090,1032.875126
28.0,664,1037.609827
11.0,538,1041.422582
13.0,628,1045.891631
17.0,642,1050.454427
22.0,463,1053.72027
13.0,614,1058.079946
23.0,717,1063.183211
19.0,710,1068.230433
24.0,479,1071.621284
20.0,674,1076.41847
30.0,922,1083.028287
30.0,703,1088.044248
18.0,638,1092.646005
16.0,629,1097.099418
9.0,474,1100.443402
10.0,506,1104.021756
25.0,804,1109.772151
18.0,617,1114.163069
24.0,578,1118.257226
28.0,906,1124.733556
27.0,1016,1131.983844
20.0,469,1135.312191
19.0,546,1139.171826
12.0,451,1142.390801
13.0,445,1145.547251
18.0,637,1150.094441
13.0,459,1153.318002
18.0,666,1158.06833
30.0,792,1163.724957
18.0,661,1168.428398
23.0,556,1172.381786
39.0,528,1176.116401
16.0,735,1181.335501
24.0,496,1184.855555
31.0,923,1191.449736
21.0,711,1196.512573
15.0,665,1201.262892
19.0,762,1206.700766
22.0,730,1211.904228
16.0,573,1215.985281
29.0,531,1219.735532
20.0,581,1223.876444
27.0,625,1228.329857
12.0,626,1232.78328
18.0,521,1236.486653
29.0,847,1242.582692
24.0,853,1248.661221
17.0,642,1253.224036
28.0,965,1260.130836
30.0,942,1266.849948
19.0,709,1271.897151
15.0,592,1276.100175
7.0,375,1278.740976
19.0,731,1283.928814
20.0,558,1287.89783
29.0,951,1294.710786
28.0,871,1300.945578
36.0,1113,1308.91341
13.0,595,1313.132453
28.0,908,1319.617262
19.0,714,1324.695716
23.0,806,1330.461728
21.0,562,1334.44457
9.0,482,1337.835432
39.0,1230,1346.648512
27.0,990,1353.742736
11.0,517,1357.414859
22.0,525,1361.11824
33.0,1203,1369.771178
17.0,636,1374.27148
24.0,888,1380.615654
9.0,458,1383.850254
21.0,587,1388.022399
14.0,571,1392.069544
21.0,870,1398.346204
22.0,767,1403.81532
28.0,878,1410.081363
23.0,818,1415.909888
30.0,868,1422.11343
14.0,492,1425.582402
30.0,904,1432.061224
18.0,762,1438.045999
35.0,1038,1445.483988
23.0,690,1450.406201
15.0,573,1454.469065
31.0,819,1460.320683
8.0,279,1462.258314
23.0,819,1468.102454
29.0,754,1473.477813
14.0,621,1477.884359
40.0,929,1484.541054
30.0,1010,1491.768029
19.0,735,1497.002743
29.0,981,1504.034465
15.0,690,1509.472328
19.0,654,1514.128891
41.0,919,1520.744422
26.0,937,1527.463622
47.0,1218,1536.21429
34.0,1003,1543.402187
43.0,1215,1552.125234
40.0,733,1557.375594
35.0,962,1564.251045
15.0,647,1568.876353
39.0,991,1576.001832
29.0,805,1582.256567
19.0,774,1587.803803
36.0,921,1594.413631
13.0,622,1598.867053
22.0,709,1603.929892
33.0,1003,1611.136031
47.0,1253,1620.15226
17.0,622,1624.590066
35.0,862,1630.809232
21.0,571,1634.88762
22.0,787,1640.528632
32.0,972,1647.498489
23.0,730,1652.717578
29.0,906,1659.749297
27.0,750,1665.171545
25.0,553,1669.156178
26.0,780,1674.749256
39.0,1028,1682.140376
17.0,683,1687.031328
43.0,1130,1695.156872
22.0,745,1700.563483
20.0,469,1703.889877
10.0,521,1707.59324
10.0,472,1710.968465
19.0,507,1714.54684
25.0,606,1718.875254
39.0,986,1725.953843
50.0,1246,1734.935774
17.0,453,1738.154738
49.0,1228,1746.983454
19.0,848,1753.077612
43.0,1129,1761.187529
20.0,752,1766.574452
33.0,595,1770.824745
25.0,780,1776.418862
29.0,744,1781.778593
36.0,1034,1789.200974
27.0,548,1793.107477
25.0,832,1799.054968
26.0,930,1805.742926
29.0,648,1810.368235
16.0,732,1815.60296
23.0,576,1819.712612
27.0,779,1825.291109
33.0,911,1831.801152
26.0,806,1837.567173
42.0,1109,1845.552083
16.0,710,1850.630548
28.0,818,1856.490303
25.0,809,1862.29591
42.0,1003,1869.468263
11.0,518,1873.171646
32.0,773,1878.703256
42.0,1097,1886.578782
30.0,699,1891.584736
21.0,845,1897.61638
11.0,392,1900.382191
20.0,702,1905.382536
23.0,807,1911.148536
62.0,1275,1920.289772
23.0,785,1925.889645
27.0,849,1931.968168
33.0,944,1938.718619
17.0,715,1943.812721
27.0,815,1949.625609
36.0,878,1955.895224
25.0,865,1962.067512
45.0,1005,1969.239876
43.0,1075,1976.959133
59.0,968,1983.865855
31.0,709,1988.915707
52.0,809,1994.681719
21.0,600,1998.94764
24.0,733,2004.229232
12.0,520,2007.901362
16.0,601,2012.198515
32.0,704,2017.216074
40.0,989,2024.279036
24.0,810,2030.045058
42.0,571,2034.123445
12.0,450,2037.326795
22.0,767,2042.874031
10.0,357,2045.421077
23.0,561,2049.420928
39.0,1175,2057.87463
33.0,888,2064.218805
24.0,619,2068.625339
49.0,1135,2076.782135
41.0,1131,2084.921857
67.0,1492,2095.641325
58.0,1410,2105.782628
34.0,950,2112.593576
37.0,1045,2120.109693
31.0,918,2126.688268
28.0,755,2132.063628
